Site,Date,Point,Depth,Tare,SWEpretare,Density,GPS_ID,,,
Fortress Ridge South,2/19/2020,1,248,161,247,347,1,,,
Fortress Ridge South,2/19/2020,2,252,,,,2,,,
Fortress Ridge South,2/19/2020,3,221,,,,3,,,
Fortress Ridge South,2/19/2020,4,177,162,207,254,4,,,
Fortress Ridge South,2/19/2020,5,263,,,,5,,,
Fortress Ridge South,2/19/2020,6,182,,,,6,,,
Fortress Ridge South,2/19/2020,7,205,,,,7,,,
Fortress Ridge South,2/19/2020,8,178,,,,8,,,
Fortress Ridge South,2/19/2020,9,219,,,,9,,,
Fortress Ridge,2/19/2020,1,36,35.5,48,347,11,,,
Fortress Ridge,2/19/2020,2,1,35.5,,,12,,,
Fortress Ridge,2/19/2020,3,0,35.5,,,13,,,
Fortress Ridge,2/19/2020,4,3,35.5,,,14,,,
Fortress Ridge,2/19/2020,5,1,35.5,,,15,,,
Fortress Ridge,2/19/2020,6,1,35.5,,,16,,,
Fortress Ridge,2/19/2020,7,1,35.5,,,17,,,
Fortress Ridge,2/19/2020,8,3,35.5,,,18,,,
Fortress Ridge,2/19/2020,9,4,35.5,,,19,,,
Fortress Ridge,2/19/2020,10,3,35.5,,,20,,,
Fortress Ridge,2/19/2020,11,3,35.5,,,21,,,
Fortress Ridge,2/19/2020,12,5,35.5,,,22,,,
Fortress Ridge,2/19/2020,13,1,35.5,,,23,,,
Fortress Ridge,2/19/2020,14,5,35.5,,,24,,,
Fortress Ridge,2/19/2020,15,0,35.5,,,25,,,
Fortress Ridge,2/19/2020,16,2,35.5,,,26,,,
Fortress Ridge,2/19/2020,17,7,35.5,37.5,286,27,,,
Fortress Ridge,2/19/2020,18,25,35.5,49,540,28,,,
Fortress Ridge,2/19/2020,19,6,35.5,,,29,,,
Fortress Ridge,2/19/2020,20,0,35.5,,,30,,,
Fortress Ridge,2/19/2020,21,2,35.5,,,31,,,
Deep Gully,2/19/2020,1,122,165,179,115,32,,,
Deep Gully,2/19/2020,2,109,170,176,55,33,,,
