"Site","Identifier","Date","GPS_ID","Latitude","Longitude","Point","Hs_insitu","Tare"
"Fortress Ridge South","21_125",2021-05-05,1,50.8383337622222,-115.215799556944,2,2.4,172
"Fortress Ridge South","21_125",2021-05-05,2,50.8382739252778,-115.2158343325,5,2.13,172
"Fortress Ridge South","21_125",2021-05-05,3,50.8382146866667,-115.215866904444,8,2.24,172
"Fortress Ridge South","21_125",2021-05-05,4,50.8381710038889,-115.215885320833,11,2.46,172
"Fortres Ridge","21_125",2021-05-05,7,50.8365130438889,-115.220271676389,1,0.19,36
"Fortres Ridge","21_125",2021-05-05,8,50.8365186988889,-115.220379658611,4,0.11,36
"Fortres Ridge","21_125",2021-05-05,9,50.8364983472222,-115.220475317222,7,0.11,36
"Fortres Ridge","21_125",2021-05-05,10,50.8364373569444,-115.220712041389,13,0.13,36
"Bonsai","21_125",2021-05-05,12,50.8211062888889,-115.214080673611,1,1.62,114
"Bonsai","21_125",2021-05-05,13,50.8210567644444,-115.214082232222,4,1.8,114
"Bonsai","21_125",2021-05-05,14,50.8210281136111,-115.214137668056,7,1.75,114
"Bonsai","21_125",2021-05-05,15,50.8209824919444,-115.214159134444,10,1.83,114
"Bonsai","21_125",2021-05-05,16,50.8209313177778,-115.214179881111,13,1.97,114
"Canadian Ridge","21_125",2021-05-05,19,50.821506195,-115.206298923889,1,0.39,112
"Canadian Ridge","21_125",2021-05-05,20,50.8215410666667,-115.206374095,4,0.59,112
"Canadian Ridge","21_125",2021-05-05,21,50.8215712491667,-115.206486127222,7,1.7,112
"Canadian Ridge","21_125",2021-05-05,22,50.82160248,-115.206576518611,10,1.25,112
"Canadian Ridge","21_125",2021-05-05,23,50.8216198119444,-115.206640175,13,1.16,112
"Canadian Ridge","21_125",2021-05-05,24,50.8216421872222,-115.206719435556,16,1.26,112
"Canadian Ridge","21_125",2021-05-05,25,50.8216729788889,-115.2068064675,19,1.16,112
"Powerline","21_125",2021-05-05,26,50.8259632627778,-115.198183433333,1,1.4,114
"Powerline","21_125",2021-05-05,30,50.82607997,-115.197723539167,13,1.42,114
"Snow Experiment","21_125",2021-05-05,33,50.8221661186111,-115.197992966389,1,0.6,35.5
"Snow Experiment","21_125",2021-05-05,34,50.8221289411111,-115.197973243333,2,0.66,35.5
"Snow Experiment","21_125",2021-05-05,35,50.8220836538889,-115.197949374444,3,0.59,35.5
"Snow Experiment","21_125",2021-05-05,36,50.8220686305556,-115.197905226667,4,0.49,35.5
"Snow Experiment","21_125",2021-05-05,37,50.8220724944444,-115.197858645833,5,0.48,35.5
"Snow Experiment","21_125",2021-05-05,38,50.8220763472222,-115.1978157375,6,0.47,35.5
"Snow Experiment","21_125",2021-05-05,39,50.8220909922222,-115.197733614722,7,0.58,35.5
"Snow Experiment","21_125",2021-05-05,40,50.8221214788889,-115.197710489167,8,0.53,35.5
"Snow Experiment","21_125",2021-05-05,41,50.8221707427778,-115.197718770278,9,0.84,35.5
"Snow Experiment","21_125",2021-05-05,42,50.8222146525,-115.197749393889,10,1.11,35.5
"Snow Experiment","21_125",2021-05-05,43,50.8222234658333,-115.197866753056,11,0.74,35.5
"Snow Experiment","21_125",2021-05-05,44,50.8221999936111,-115.197939161667,12,0.68,35.5
"Fortress Ridge South","21_137",2021-05-17,2,50.8383098336111,-115.215808080278,1,1.74,159
